division_lat,division_ru,class_lat,class_ru,order_lat,order_ru,family_lat,family_ru,family_takhtajan,genus_lat,genus_ru,species_sci,species_ru,species_uz,plantarium_url,life_form,habitat_env,habitat_place,usage,range_world,range_central_asia,range_uzbekistan,endemism,protected_areas,red_book,life_form_ru,life_form_en,habitat_place_ru,habitat_place_en,usage_ru,usage_en,habitat_env_ru,habitat_env_en,range_world_ru,range_world_en,range_central_asia_ru,range_central_asia_en,range_uzbekistan_ru,range_uzbekistan_en
,,,,,,,,,,,Taraxacum microspermum Schischk.,,,,,,,,,,,,,false,,,,,,,,,,,,,,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Taraxacum F.H. Wigg.,Одуванчик,Taraxacum minutilobum Popov ex Kovalevsk.,одуванчик мелколопастной,maydabarg qoqio't,,ko'p yillik,"toshloq, shag'alli yonbag'irlar, qoyalar, tosh sochilmalari, morenalar, daryo qirg'oqlari, soylar",baland tog'lar,foydalanilmaydi,"O'rta Osiyo, Afg'oniston, Pokiston","Tyanshan (tizmalari Terskay, Qirg'iz, Talas Olatov, tog'lari o'rta oqimida d. Norin, tizmalari Farg'ona, Ugom, Piskom, Sandalash, Chotqol), Pomir-Oloy (tizmalari Oloy, Turkiston, Zarafshon, Hisor, Ko'hitang, Oloyorti, Pyotr I, Darvoz, Pomir)",,,,false,многолетнее,perennial,высокогорья,high mountains,не используется,not used,"каменистые, щебнистые склоны, скалы, каменистые осыпи, морены, берега рек, сай","rocky, gravelly slopes, rocks, rock scree, moraines, river banks, mountain streams","Средняя Азия, Афганистан, Пакистан","Central Asia, Afghanistan, Pakistan","Тянь-Шань (хребты Терскей, Киргизский, Таласский Алатау, горы среднего течения р. Нарын, хребты Фергана, Угам, Пскем, Сандалаш, Чаткал), Памиро-Алай (хребты Алай, Туркестан, Зарафшан, Гиссар, Кугитанг, Заалайский, хребет Петра I, Дарваз, Памир)","Tian Shan (ranges Terskey, Kyrgyz, Talas Alatau, mountains of the middle Naryn, ranges Fergana, Ugam, Pskem, Sandalash, Chatkal), Pamir-Alai (ranges Alai, Turkestan, Zarafshan, Hissar, Kugitang, Trans-Alai, Peter I Range, Darvaz, Pamir)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Taraxacum F.H. Wigg.,Одуванчик,Taraxacum modestum Schischk.,одуванчик скромный,kamsuqum qoqio't,,ko'p yillik,"mayda tuproqli, shag'alli yonbag'irlar, zax joylar yaqinida qorliklar","o'rta tog'lar, baland tog'lar",foydalanilmaydi,"Tyanshan, Pomir-Oloy","Tyanshan (tizmalari Talas, Qirg'iz Olatov, Qoratov, Ugom, Chotqol, Qurama), Pomir-Oloy (tizmalari Oloy, Turkiston)",,,,false,многолетнее,perennial,"среднегорья, высокогорья","mid mountains, high mountains",не используется,not used,"мелкоземистые, щебнистые склоны, сырые места вблизи снежники","fine-earth, gravelly slopes, damp places near snowfields","Тянь-Шань, Памиро-Алай","Tian Shan, Pamir-Alai","Тянь-Шань (хребты Талас, Киргизский Алатау, Каратау, Угам, Чаткал, Кураминский), Памиро-Алай (хребты Алай, Туркестан)","Tian Shan (ranges Talas, Kyrgyz Alatau, Karatau, Ugam, Chatkal, Kurama), Pamir-Alai (ranges Alai, Turkestan)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Taraxacum F.H. Wigg.,Одуванчик,Taraxacum monochlamydeum Hand.-Mazz.,одуванчик однопокровный,birqoplamali qoqio't,,ko'p yillik,"lyossli, mayda tuproqli yonbag'irlar, ola-bula rangli tog' jinslari ochilmalari, bog'lar, tabiat bog'lari, dalalar, tashlandiq ekin maydonlari, yoqalari yo'llar, begona o'tli joylar","tekislik, tog'oldi, past tog'lar, o'rta tog'lar",asalbop,"O'rta Osiyo, Eron, Iroq, Afg'oniston, Pokiston, shimoliy Hindiston","Balxashbo'yi va Orolbo'yi cho'llar, quyi oqimi daryolar Chu, Sarisuv, daryo vodiylari Sirdaryo, Amudaryo, Ustyurt, Mang'ishloq, Farg'ona vodiy, Toshkent atrofi cho'li, Mirzacho'l, vodiy d. Zarafshon, Qarnabcho'l, Qarshi dasht, Surxon-Sherobod vodiy, Jung'or Olatovi, Tyanshan (tizmalari Iliorti, Kungay, Qirg'iz, Talas Olatov, Ugom, Piskom, Chotqol, Qurama, Issiqko'l botiq, tizmalari Qoratov, Oto'ynoq, Farg'ona), Pomir-Oloy (tizmalari Oloy, Turkiston, Nurota, Zarafshon, Hisor, Oloy vodiy, tizmalari Pyotr I, Darvoz, g'arbiy Pomir, past tog'lar janubiy Tojikiston)",,,,false,многолетнее,perennial,"равнина, предгорья, низкогорья, среднегорья","plain, foothills, low mountains, mid mountains",медоносное,melliferous,"лёссовые, мелкоземистые склоны, обнажения пестроцветных пород, сады, природа сады, поля, заброшенные пашни, обочины дорог, сорные места","loess, fine-earth slopes, variegated rock outcrops, gardens, nature gardens, fields, abandoned fields, roadsides, weedy places","Средняя Азия, Иран, Ирак, Афганистан, Пакистан, северный Индия","Central Asia, Iran, Iraq, Afghanistan, Pakistan, northern India","Прибалхашье и Приаралье пустыни, нижний течение реки Чу, Сарысу, долины реки Сырдарья, Амударья, Устюрт, Мангышлак, Ферганская долина, Ташкентская пустыня, Голодная степь, долина р. Зарафшан, Карнабчуль, Каршинская степь, Сурхан-Шерабадская долина, Джунгарский Алатау, Тянь-Шань (хребты Заилийский, Кунгей, Киргизский, Таласский Алатау, Угам, Пскем, Чаткал, Кураминский, Иссык-Кульская котловина, хребты Каратау, Атойнак, Фергана), Памиро-Алай (хребты Алай, Туркестан, Нурата, Зарафшан, Гиссар, Алайская долина, хребты хребет Петра I, Дарваз, Западный Памир, низкий горы южный Таджикистан)","Balkhash region and Aral region deserts, lower course rivers Chu, Sarysu, Syr Darya river valleys, Amu Darya, Ustyurt, Mangyshlak, Fergana Valley, Tashkent desert, Mirzachul, Zarafshan valley, Karnabchul, Karshi steppe, Surkhan-Sherabad Valley, Dzungarian Alatau, Tian Shan (ranges Trans-Ili, Kungey, Kyrgyz, Talas Alatau, Ugam, Pskem, Chatkal, Kurama, Issyk-Kul Basin, ranges Karatau, Atoynak, Fergana), Pamir-Alai (ranges Alai, Turkestan, Nurata, Zarafshan, Hissar, Alai Valley, ranges Peter I Range, Darvaz, Western Pamir, low mountains southern Tajikistan)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Taraxacum F.H. Wigg.,Одуванчик,Taraxacum montanum (C.A. Mey.) DC.,одуванчик горный,tog' qoqio'ti,,ko'p yillik,"mayda tuproqli, shag'alli, toshloq yonbag'irlar, yotqiziq konuslari, shag'alzorlar","past tog'lar, o'rta tog'lar",asalbop,"Kavkaz, O'rta Osiyo, Kichik Osiyo, Eron, Afg'oniston","Tyanshan (tizmalari Qirg'iz, Talas Olatov, Qorajontov, Piskom, Ugom, Chotqol, Qurama, Farg'ona), Pomir-Oloy (tizmalari Oloy, Turkiston, Nurota, Zarafshon, Hisor, Qorategin, Vaxsh, Ko'hitang, Pyotr I, Darvoz, g'arbiy Pomir), Kopetdog'",,,,false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains",медоносное,melliferous,"мелкоземистые, щебнистые, каменистые склоны, отложения конусы, галечники","fine-earth, gravelly, rocky slopes, deposits cones, gravel beds","Кавказ, Средняя Азия, Малая Азия, Иран, Афганистан","Caucasus, Central Asia, Asia Minor, Iran, Afghanistan","Тянь-Шань (хребты Киргизский, Таласский Алатау, Каржантау, Пскем, Угам, Чаткал, Кураминский, Фергана), Памиро-Алай (хребты Алай, Туркестан, Нурата, Зарафшан, Гиссар, Каратегин, Вахш, Кугитанг, хребет Петра I, Дарваз, западный Памир), Копетдаг","Tian Shan (ranges Kyrgyz, Talas Alatau, Karzhantau, Pskem, Ugam, Chatkal, Kurama, Fergana), Pamir-Alai (ranges Alai, Turkestan, Nurata, Zarafshan, Hissar, Karategin, Vakhsh, Kugitang, Peter I Range, Darvaz, western Pamir), Kopet Dag",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Taraxacum F.H. Wigg.,Одуванчик,Taraxacum nevskii Juz.,одуванчик Невского,Nevskiy qoqio'ti,,ko'p yillik,"toshloq, shag'alli yonbag'irlar, tosh sochilmalari",o'rta tog'lar,asalbop,"O'rta Osiyo, Eron, Iroq","Tyanshan (tizmasi Sandalash: SariJaz (?)), Pomir-Oloy (tizmalari Turkiston, Zarafshon, Hisor, Ko'hitang)",,,,false,многолетнее,perennial,среднегорья,mid mountains,медоносное,melliferous,"каменистые, щебнистые склоны, каменистые осыпи","rocky, gravelly slopes, rock scree","Средняя Азия, Иран, Ирак","Central Asia, Iran, Iraq","Тянь-Шань (хребет Сандалаш: Сарыджаз (?)), Памиро-Алай (хребты Туркестан, Зарафшан, Гиссар, Кугитанг)","Tian Shan (range Sandalash: Sarydzhaz (?)), Pamir-Alai (ranges Turkestan, Zarafshan, Hissar, Kugitang)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Taraxacum F.H. Wigg.,Одуванчик,Taraxacum nuratavicum Schischk.,одуванчик нуратавский,Nurota qoqio'ti,,ko'p yillik,"zax joylar, daryo qirg'oqlari, soylar",o'rta tog'lar,asalbop,Pomir-Oloy,"Pomir-Oloy (Oloy vodiy, tizmalari Hisor, Qorategin, Vaxsh, Nurota, Pyotr I, Darvoz, Hazrati Shoh)",,,,false,многолетнее,perennial,среднегорья,mid mountains,медоносное,melliferous,"сырые места, берега рек, сай","damp places, river banks, mountain streams",Памиро-Алай,Pamir-Alai,"Памиро-Алай (Алай долина, хребты Гиссар, Каратегин, Вахш, Нурата, хребет Петра I, Дарваз, Хазрат Султан)","Pamir-Alai (Alai valley, ranges Hissar, Karategin, Vakhsh, Nurata, Peter I Range, Darvaz, Hazrat Sultan)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Taraxacum F.H. Wigg.,Одуванчик,Taraxacum officinale F.H. Wigg.,одуванчик лекарственный,dorivor qoqio't,,ko'p yillik,"aholi punktlari, vohalar, suv havzalari qirg'oqlari, daryo vodiylari, o'tloqlar, bog'lar, tashlandiq ekin maydonlari, yoqalari yo'llar","tekislik, tog'oldi, past tog'lar, o'rta tog'lar","dorivor, oziq-ovqatbop, yem-xashakbop, asalbop",kosmopolit,bo'ylab butun Kazaxstanu va o'rta Osiyo,,,,false,многолетнее,perennial,"равнина, предгорья, низкогорья, среднегорья","plain, foothills, low mountains, mid mountains","лекарственное, пищевое, кормовое, медоносное","medicinal, food, fodder, melliferous","населённые пункты, оазисы, берега водоёмов, речные долины, луга, сады, заброшенные пашни, обочины дорог","settlements, oases, shores of water bodies, river valleys, meadows, gardens, abandoned fields, roadsides",космополит,cosmopolitan,вдоль весь Казахстану и средний Азия,along entire Kazakhstan and middle Asia,,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Taraxacum F.H. Wigg.,Одуванчик,Taraxacum popovii Kovalevsk. ex Vainberg,одуванчик Попова,Popov qoqio'ti,,ko'p yillik,"toshloq, shag'alli yonbag'irlar, morenalar, alp o'tloqlari, tosh sochilmalari, zax joylar yaqinida qorliklar",baland tog'lar,foydalanilmaydi,Pomir-Oloy,"Pomir-Oloy (tizmalari Oloy, Turkiston, Zarafshon, Hisor)",,,,false,многолетнее,perennial,высокогорья,high mountains,не используется,not used,"каменистые, щебнистые склоны, морены, альпийские луга, каменистые осыпи, сырые места вблизи снежники","rocky, gravelly slopes, moraines, alpine meadows, rock scree, damp places near snowfields",Памиро-Алай,Pamir-Alai,"Памиро-Алай (хребты Алай, Туркестан, Зарафшан, Гиссар)","Pamir-Alai (ranges Alai, Turkestan, Zarafshan, Hissar)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Taraxacum F.H. Wigg.,Одуванчик,Taraxacum pseudoalpinum Schischk. ex Orazova,одуванчик ложноальпийский,soxtaalp qoqio't,,ko'p yillik,"o'tloqlar, daryo vodiylari, toshloq yonbag'irlar, shag'alzorlar","o'rta tog'lar, baland tog'lar",foydalanilmaydi,"Tyanshan, Pomir-Oloy","Tyanshan (Chu-Ili tog'lari, tizmalari Ketmontov, Kungay, Iliorti, Qirg'iz, Talas va Terskay Olatov, Farg'ona, Chotqol, Qurama, tog'lari o'rta oqimida d. Norin), Pomir-Oloy (tizmalari Oloy, Turkiston, Zarafshon, Hisor, Oloyorti, Pyotr I, Darvoz, g'arbiy Pomir)",,,,false,многолетнее,perennial,"среднегорья, высокогорья","mid mountains, high mountains",не используется,not used,"луга, речные долины, каменистые склоны, галечники","meadows, river valleys, rocky slopes, gravel beds","Тянь-Шань, Памиро-Алай","Tian Shan, Pamir-Alai","Тянь-Шань (Чу-Илийский горы, хребты Кетмень, Кунгей, Заилийский, Киргизский, Талас и Терскей Алатау, Фергана, Чаткал, Кураминский, горы средний в течении р. Нарын), Памиро-Алай (хребты Алай, Туркестан, Зарафшан, Гиссар, Заалайский, хребет Петра I, Дарваз, западный Памир)","Tian Shan (Chu-Ili mountains, ranges Ketmen, Kungey, Trans-Ili, Kyrgyz, Talas and Terskey Alatau, Fergana, Chatkal, Kurama, mountains middle in the course r. Naryn), Pamir-Alai (ranges Alai, Turkestan, Zarafshan, Hissar, Trans-Alai, Peter I Range, Darvaz, western Pamir)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Taraxacum F.H. Wigg.,Одуванчик,Taraxacum pseudominutilobum Kovalevsk.,одуванчик ложномелколопастной,soxtamaydabo'lak qoqio't,,ko'p yillik,"toshloq, shag'alli yonbag'irlar, qoyalar",baland tog'lar,foydalanilmaydi,g'arbiy Tyanshan,"Tyanshan (tizmalari Talas Olatov, Chotqol, Piskom, Ugom)",,,,false,многолетнее,perennial,высокогорья,high mountains,не используется,not used,"каменистые, щебнистые склоны, скалы","rocky, gravelly slopes, rocks",Западный Тянь-Шань,Western Tian Shan,"Тянь-Шань (хребты Талас Алатау, Чаткал, Пскем, Угам)","Tian Shan (ranges Talas Alatau, Chatkal, Pskem, Ugam)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Taraxacum F.H. Wigg.,Одуванчик,Taraxacum repandum Pavlov,одуванчик широковыемчатый,kengo'yiqli qoqio't,,ko'p yillik,"toshloq, shag'alli yonbag'irlar, qoyalar, tosh sochilmalari","o'rta tog'lar, baland tog'lar",foydalanilmaydi,"Tyanshan, shimoliy Pomir-Oloy","Tyanshan (Chu-Ili tog'lari, tizmalari Ketmontov, Talas Olatov, tog'lari o'rta oqimida d. Norin: dara. d. Kokomeren, Ugom, Piskom), Pomir-Oloy (tizmalari Oloy, Turkiston)",,,,false,многолетнее,perennial,"среднегорья, высокогорья","mid mountains, high mountains",не используется,not used,"каменистые, щебнистые склоны, скалы, каменистые осыпи","rocky, gravelly slopes, rocks, rock scree","Тянь-Шань, северный Памиро-Алай","Tian Shan, northern Pamir-Alai","Тянь-Шань (Чу-Илийский горы, хребты Кетмень, Таласский Алатау, горы среднего течения р. Нарын: ущелье. р. Кокомерен, Угам, Пскем), Памиро-Алай (хребты Алай, Туркестан)","Tian Shan (Chu-Ili mountains, ranges Ketmen, Talas Alatau, mountains of the middle Naryn: gorge. r. Kokomeren, Ugam, Pskem), Pamir-Alai (ranges Alai, Turkestan)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Taraxacum F.H. Wigg.,Одуванчик,Taraxacum strobilocephalum Kovalevsk.,одуванчик шишкоголовый,qubbabosh qoqio't,,ko'p yillik,"bog'lar, tabiat bog'lari, qirg'oqlar ariqlar, to'qaylar",tekislik,asalbop,"Toshkent atrofi cho'li, Pomir-Oloy","vodiy d. Sirdaryo: atrofi sh. Toshkent, vodiy d. Zarafshon",,O'zbekiston endemigi,,false,многолетнее,perennial,равнина,plain,медоносное,melliferous,"сады, природа сады, берега арыков, тугаи","gardens, nature gardens, irrigation ditch banks, tugai forests","Ташкентская пустыня, Памиро-Алай","Tashkent desert, Pamir-Alai","долина р. Сырдарья: окрестности г. Ташкент, долина р. Зарафшан","valley r. Syr Darya: surroundings c. Tashkent, Zarafshan valley",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Taraxacum F.H. Wigg.,Одуванчик,Taraxacum tadshikorum Ovcz.,одуванчик таджикский,tojik qoqio'ti,,ko'p yillik,"mayda tuproqli, toshloq yonbag'irlar, yoqalari yo'llar, bog'lar","tekislik, tog'oldi, past tog'lar, o'rta tog'lar",asalbop,,"daryo vodiysi Zarafshon, Pomir-Oloy (tizmalari Turkiston, Zarafshon, Hisor, Bobotog', past tog'lar janubiy Tojikiston)","tizmalari Zarafshon, Hisor",,,false,многолетнее,perennial,"равнина, предгорья, низкогорья, среднегорья","plain, foothills, low mountains, mid mountains",медоносное,melliferous,"мелкоземистые, каменистые склоны, обочины дорог, сады","fine-earth, rocky slopes, roadsides, gardens",,,"река долина Зарафшан, Памиро-Алай (хребты Туркестан, Зарафшан, Гиссар, Бабатаг, низкий горы южный Таджикистан)","river valley Zarafshan, Pamir-Alai (ranges Turkestan, Zarafshan, Hissar, Babatag, low mountains southern Tajikistan)","Зарафшанский, Гиссарский хребты","Zarafshan, Hissar Ranges"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Taraxacum F.H. Wigg.,Одуванчик,Taraxacum taschkenticum Orazova,одуванчик ташкентский,Toshkent qoqio'ti,,ko'p yillik,"gilli cho'llar, lyossli, mayda tuproqli yonbag'irlar, yoqalari yo'llar, bog'lar","tekislik, tog'oldi, past tog'lar",asalbop,O'rta Osiyo,"Toshkent atrofi cho'li, quyi oqimi daryolar Chu, Sarisuv, vodiy d. Zarafshon, Mirzacho'l, Tyanshan (Chu-Ili tog'lari), Pomir-Oloy (tizmalari Turkiston, Zarafshon, Hisor, past tog'lar janubiy Tojikiston)",,,,false,многолетнее,perennial,"равнина, предгорья, низкогорья","plain, foothills, low mountains",медоносное,melliferous,"глинистые пустыни, лёссовые, мелкоземистые склоны, обочины дорог, сады","clayey deserts, loess, fine-earth slopes, roadsides, gardens",Средняя Азия,Central Asia,"Ташкентская пустыня, нижний течение реки Чу, Сарысу, долина р. Зарафшан, Голодная степь, Тянь-Шань (Чу-Илийский горы), Памиро-Алай (хребты Туркестан, Зарафшан, Гиссар, низкий горы южный Таджикистан)","Tashkent desert, lower course rivers Chu, Sarysu, Zarafshan valley, Mirzachul, Tian Shan (Chu-Ili mountains), Pamir-Alai (ranges Turkestan, Zarafshan, Hissar, low mountains southern Tajikistan)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Taraxacum F.H. Wigg.,Одуванчик,Taraxacum tianschanicum Pavlov,одуванчик тяньшанский,Tiyon Shon qoqio'ti,,ko'p yillik,"toshloq, shag'alli yonbag'irlar, shag'alzorlar, daryo qirg'oqlari","o'rta tog'lar, baland tog'lar",foydalanilmaydi,"Jung'or Olatovi, Tyanshan, Pomir-Oloy","Jung'or Olatovi, Tyanshan (tizmalari Ketmontov, Iliorti, Kungay, Qirg'iz, Terskay, Talas Olatov, Chotqol, Piskom, Qorajontov, Qurama, Farg'ona), Pomir-Oloy (tizmalari Turkiston, Hisor)",,,,false,многолетнее,perennial,"среднегорья, высокогорья","mid mountains, high mountains",не используется,not used,"каменистые, щебнистые склоны, галечники, берега рек","rocky, gravelly slopes, gravel beds, river banks","Джунгарский Алатау, Тянь-Шань, Памиро-Алай","Dzungarian Alatau, Tian Shan, Pamir-Alai","Джунгарский Алатау, Тянь-Шань (хребты Кетмень, Заилийский, Кунгей, Киргизский, Терскей, Таласский Алатау, Чаткал, Пскем, Каржантау, Кураминский, Фергана), Памиро-Алай (хребты Туркестан, Гиссар)","Dzungarian Alatau, Tian Shan (ranges Ketmen, Trans-Ili, Kungey, Kyrgyz, Terskey, Talas Alatau, Chatkal, Pskem, Karzhantau, Kurama, Fergana), Pamir-Alai (ranges Turkestan, Hissar)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Heteracia Fisch. et C.A. Mey,Гетерация,Heteracia epapposa (Regel  & Schmalh.) Popov,гетерация бесхохолковая,kokilsiz geteratsiya,,bir yillik,"daryo vodiylari, qumli, gilli, shag'alli cho'llar, sho'rxoklar, lyossli, mayda tuproqli, shag'alli, toshloq yonbag'irlar, qoyalar, tashlandiq ekin maydonlari","tekislik, tog'oldi, past tog'lar, o'rta tog'lar",foydalanilmaydi,,,,,,false,однолетнее,annual,"равнина, предгорья, низкогорья, среднегорья","plain, foothills, low mountains, mid mountains",не используется,not used,"речные долины, песчаные, глинистые, щебнистые пустыни, солончаки, лёссовые, мелкоземистые, щебнистые, каменистые склоны, скалы, заброшенные пашни","river valleys, sandy, clayey, gravelly deserts, salt marshes, loess, fine-earth, gravelly, rocky slopes, rocks, abandoned fields",,,,,,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Heteracia Fisch. et C.A. Mey,Гетерация,Heteracia szovitzii Fisch. & C.A.Mey.,гетерация Шовица,Shovich geteratsiyasi,,bir yillik,"daryo vodiylari, qumli, gilli, shag'alli cho'llar, sho'rxoklar, lyossli, mayda tuproqli, shag'alli, toshloq yonbag'irlar, qoyalar, tashlandiq ekin maydonlari","tekislik, tog'oldi, past tog'lar, o'rta tog'lar",foydalanilmaydi,"Sharqiy Yevropa, Kavkaz, O'rta Osiyo, Kichik Osiyo, Eron, Afg'oniston","Orolbo'yi cho'llar va orollar Orol dengizi, Olaqol botiq, Balxashbo'yi cho'llar, vodiy d. yoki: o'rta oqimi, vodiy d. Sirdaryo, Qoratovorti tog' etagi tekislik, Qizilqum, vodiy d. Amudaryo, Farg'ona vodiy, Toshkent atrofi cho'li, Mirzacho'l, vodiy d. Zarafshon, Qarnabcho'l, vodiy d. Surxondaryo, Tyanshan (Chu-Ili tog'lari, tizmalari Iliorti, Talas Olatov, tog'lari o'rta oqimida d. Norin, tizmalari Qoratov, Qurama, Mo'g'ultov), Pomir-Oloy (tizmalari Turkiston, Nurota, Hisor, Bobotog', Zarafshon, Kupitang, g'arbiy Pomir, past tog'lar janubiy Tojikiston), Kopetdog', Badxi.",,,,false,однолетнее,annual,"равнина, предгорья, низкогорья, среднегорья","plain, foothills, low mountains, mid mountains",не используется,not used,"речные долины, песчаные, глинистые, щебнистые пустыни, солончаки, лёссовые, мелкоземистые, щебнистые, каменистые склоны, скалы, заброшенные пашни","river valleys, sandy, clayey, gravelly deserts, salt marshes, loess, fine-earth, gravelly, rocky slopes, rocks, abandoned fields","Восточная Европа, Кавказ, Средняя Азия, Малая Азия, Иран, Афганистан","Eastern Europe, Caucasus, Central Asia, Asia Minor, Iran, Afghanistan","Приаралье пустыни и острова Арал море, Алакольская котловина, Прибалхашские пустыни, долина р. или: средний течение, долина р. Сырдарья, Каратау гора подножие равнина, Кызылкум, долина р. Амударья, Ферганская долина, Ташкентская пустыня, Голодная степь, долина р. Зарафшан, Карнабчуль, долина р. Сурхандарья, Тянь-Шань (Чу-Илийский горы, хребты Заилийский, Таласский Алатау, горы среднего течения р. Нарын, хребты Каратау, Кураминский, Моголтау), Памиро-Алай (хребты Туркестан, Нурата, Гиссар, Бабатаг, Зарафшан, Купитанг, Западный Памир, низкий горы южный Таджикистан), Копетдаг, Бадхи.","Aral region deserts and islands Aral sea, Alakol Basin, Balkhash deserts, valley r. or: middle course, Syr Darya valley, Karatau mountain foot plain, Kyzylkum, Amu Darya valley, Fergana Valley, Tashkent desert, Mirzachul, Zarafshan valley, Karnabchul, valley r. Surkhandarya, Tian Shan (Chu-Ili mountains, ranges Trans-Ili, Talas Alatau, mountains of the middle Naryn, ranges Karatau, Kurama, Mogoltau), Pamir-Alai (ranges Turkestan, Nurata, Hissar, Babatag, Zarafshan, Kupitang, Western Pamir, low mountains southern Tajikistan), Kopet Dag, Badxi.",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Asterales,Астроцветные,Asteraceae,Сложноцветные,Asteraceae,Barkhausia Moench,Баркхаузия,Barkhausia kotschyana Boiss.,баркхаузия Кочи,Kochi barkxauziyasi,,bir yillik,"mayda tuproqli, shag'alli, toshloq yonbag'irlar, ohaktosh ochilmalari, slanetslar, qizil qumtoshlar","tog'oldi, past tog'lar, o'rta tog'lar",foydalanilmaydi,"O'rta Osiyo, Blijniy Vostok, Eron, Afg'oniston, Pokiston","vodiy d. Sirdaryo, Surxon-Sherobod vodiy, Tyanshan (tizmalari Qurama, Mo'g'ultov), Pomir-Oloy (tizmalari Turkiston, 3arafshanskiy, Nurota, Zirabuloq-Ziyovuddin tog'lari, tizmalari Hisor va uning janubi-g'arb. tarmoqlari, Ko'hitang, Bobotog', Darvoz: vodiy d. Visxarvi, Qorategin, past tog'lar janubiy Tojikiston), Kopetdog', Badhiz",,,,false,однолетнее,annual,"предгорья, низкогорья, среднегорья","foothills, low mountains, mid mountains",не используется,not used,"мелкоземистые, щебнистые, каменистые склоны, известняк обнажения, сланцы, красные песчаники","fine-earth, gravelly, rocky slopes, limestone outcrops, shales, red sandstones","Средняя Азия, Ближний Восток, Иран, Афганистан, Пакистан","Central Asia, Blijniy Vostok, Iran, Afghanistan, Pakistan","долина р. Сырдарья, Сурхан-Шерабадская долина, Тянь-Шань (хребты Кураминский, Моголтау), Памиро-Алай (хребты Туркестан, 3арафшанский, Нурата, горы Зирабулак-Зиатдин, хребты Гиссар и его юго-запад. отроги, Кугитанг, Бабатаг, Дарваз: долина р. Висхарви, Каратегин, низкий горы южный Таджикистан), Копетдаг, Бадхыз","Syr Darya valley, Surkhan-Sherabad Valley, Tian Shan (ranges Kurama, Mogoltau), Pamir-Alai (ranges Turkestan, 3arafshanskiy, Nurata, Zirabulak-Ziatdin Mountains, ranges Hissar and its southwest. spurs, Kugitang, Babatag, Darvaz: valley r. Viskharvi, Karategin, low mountains southern Tajikistan), Kopet Dag, Badkhyz",,
